patent_id,citation_sequence,citation_document_number,citation_date,record_name,wipo_kind,citation_category
RE47725,6,2009/0213311,2009-08-01,Hisakado et al.,A1,cited by examiner
11312233,8,2016/0131247,2016-05-01,Kim,A1,cited by examiner
10059328,4,2016/0369733,2016-12-01,Dokras,A1,cited by examiner
10220567,31,2004/0187714,2004-09-01,Napadensky et al.,A1,cited by applicant
10884608,182,2009/0259975,2009-10-01,Asai et al.,A1,cited by applicant
10432220,4,2007/0094565,2007-04-01,Paumier,A1,cited by examiner
9428743,14,2010/0003230,2010-01-01,Glidden,A1,cited by applicant
11397674,86,2015/0278534,2015-10-01,Thiyagarajan et al.,A1,cited by applicant
7156265,6,2003/0111497,2003-06-01,Lukaris,A1,cited by other
8870747,74,2003/0060770,2003-03-01,Wing et al.,A1,cited by applicant
11361331,64,2014/0297476,2014-10-01,Wang,A1,cited by applicant
9774711,18,2010/0262736,2010-10-01,Wiesgickl,A1,cited by examiner
8917532,36,2002/0000583,2002-01-01,Kitsukawa et al.,A1,cited by applicant
10474792,37,2008/0288292,2008-11-01,Bi et al.,A1,cited by applicant
11082331,8,2015/0131619,2015-05-01,Zhu et al.,A1,cited by applicant
8400268,11,2007/0152811,2007-07-01,Anderson,A1,cited by examiner
8255810,0,2007/0204218,2007-08-01,Weber et al.,A1,cited by other
8918073,76,2002/0085538,2002-07-01,Leung,A1,cited by applicant
10098863,54,2014/0323570,2014-10-01,Gold,A1,cited by applicant
7666084,89,2006/0287070,2006-12-01,Walker et al.,A1,cited by other
10430282,71,2014/0068791,2014-03-01,Resch,A1,cited by applicant
9367832,63,2004/0225693,2004-11-01,Ganji et al.,A1,cited by applicant
11056981,189,2020/0196110,2020-06-01,Jakobsson,A1,cited by applicant
10691295,336,2005/0216302,2005-09-01,Raji et al.,A1,cited by applicant
10630570,41,2005/0273641,2005-12-01,Sandven et al.,A1,cited by applicant
8266408,3,2008/0162798,2008-07-01,Lofgren et al.,A1,cited by examiner
D705972,0,2005/0025570,2005-02-01,Snagel,A1,cited by examiner
8975082,10,2011/0212902,2011-09-01,Bar-or,A1,cited by applicant
10199519,27,2010/0230812,2010-09-01,Oganesian,A1,cited by applicant
9029173,116,2011/0108888,2011-05-01,Or-Bach et al.,A1,cited by examiner
9110594,25,2002/0161774,2002-10-01,Tol et al.,A1,cited by examiner
9340384,0,2013/0026696,2013-01-01,Matsumoto,A1,cited by examiner
9292909,11,2011/0043486,2011-02-01,Hagiwara et al.,A1,cited by applicant
10695057,1370,2019/0201028,2019-07-01,"Shelton, IV et al.",A1,cited by applicant
8612856,143,2008/0042988,2008-02-01,Westerman et al.,A1,cited by applicant
10345395,267,2017/0343695,2017-11-01,Stetson et al.,A1,cited by applicant
9007190,111,2008/0030482,2008-02-01,Elwell et al.,A1,cited by applicant
10370727,37,2018/0030549,2018-02-01,Nanda et al.,A1,cited by applicant
7784126,0,2004/0200001,2004-10-01,Stolze et al.,A1,cited by examiner
8405063,107,2008/0048936,2008-02-01,Powell et al.,A1,cited by applicant
11036311,167,2013/0176566,2013-07-01,Mitchell et al.,A1,cited by applicant
10912549,94,2012/0046693,2012-02-01,Denham et al.,A1,cited by applicant
11303652,74,2015/0215425,2015-07-01,Weisblum et al.,A1,cited by applicant
10458978,14,2003/0100128,2003-05-01,Kenjyou et al.,A1,cited by applicant
11085188,55,2010/0288337,2010-11-01,Rizzo,A1,cited by applicant
9339378,228,2014/0350666,2014-11-01,Righini,A1,cited by applicant
D881325,1,2006/0283345,2006-12-01,Feldman,A1,cited by examiner
8160726,86,2002/0161287,2002-10-01,Schmitt,A1,cited by other
9672869,3,2003/0151994,2003-08-01,Tasaka et al.,A1,cited by applicant
7489875,1,2007/0035980,2007-02-01,Taylor,A1,cited by other
11175660,489,2015/0332407,2015-11-01,Wilson et al.,A1,cited by applicant
9167109,139,2001/0022661,2001-09-01,Fujimoto et al.,A1,cited by applicant
7115631,1,2003/0105134,2003-06-01,Harris et al.,A1,cited by other
7834427,0,2008/0042227,2008-02-01,Asano et al.,A1,cited by other
10883695,1,2005/0018441,2005-01-01,Menke,A1,cited by examiner
9646303,18,2012/0233685,2012-09-01,Palanigounder et al.,A1,cited by applicant
8554872,16,2009/0031006,2009-01-01,Johnson,A1,cited by applicant
RE48460,237,2015/0073515,2015-03-01,Turovskiy et al.,A1,cited by applicant
10825673,57,2018/0017535,2018-01-01,Cooks,A1,cited by applicant
10254066,3,2010/0299985,2010-12-01,Delgado Acarreta,A1,cited by applicant
9189815,15,2002/0138401,2002-09-01,Allen et al.,A1,cited by applicant
8285685,21,2003/0115219,2003-06-01,Chadwick,A1,cited by other
7980548,2,2005/0194732,2005-09-01,Asada,A1,cited by other
8896668,15,2003/0179198,2003-09-01,Uchiyama,A1,cited by applicant
9811030,13,2010/0329726,2010-12-01,Kasuga,A1,cited by applicant
11036897,76,2014/0278281,2014-09-01,Vaynriber,A1,cited by examiner
10485761,1,2005/0271591,2005-12-01,Walovitch,A1,cited by examiner
10440378,5,2017/0208335,2017-07-01,Ramamurthy,A1,cited by examiner
7770792,2,2004/0206810,2004-10-01,Yamagiwa,A1,cited by other
10124412,11,2014/0079495,2014-03-01,Chen,A1,cited by examiner
D860520,3,2017/0259170,2017-09-01,Bowen,A1,cited by examiner
8485413,134,2008/0078804,2008-04-01,Shelton et al.,A1,cited by applicant
9642620,606,2016/0199089,2016-07-01,Hess et al.,A1,cited by applicant
10463090,0,2003/0154540,2003-08-01,Nishimoto,A1,cited by examiner
10169812,73,2007/0005524,2007-01-01,Iwachin,A1,cited by applicant
9921948,24,2011/0067005,2011-03-01,Bassin,A1,cited by examiner
9813276,20,2015/0280945,2015-10-01,Tan,A1,cited by examiner
11120372,2602,2015/0133049,2015-05-01,Lee et al.,A1,cited by applicant
10563052,4,2014/0209841,2014-07-01,Taunk,A1,cited by examiner
10572501,11,2014/0129936,2014-05-01,Richards,A1,cited by examiner
11125913,13,2004/0204859,2004-10-01,Knobloch,A1,cited by applicant
8612406,10,2012/0030256,2012-02-01,Pfeifer et al.,A1,cited by applicant
8129717,14,2008/0308805,2008-12-01,Akimoto et al.,A1,cited by other
10703722,26,2011/0015184,2011-01-01,Bohnert et al.,A1,cited by applicant
9840430,14,2006/0000239,2006-01-01,Jeanvoine et al.,A1,cited by applicant
11018002,2619,2020/0286725,2020-09-01,Sharma et al.,A1,cited by applicant
9496194,2,2005/0127500,2005-06-01,Colgan et al.,A1,cited by applicant
11093671,33,2020/0242201,2020-07-01,Lafreniere et al.,A1,cited by applicant
11219808,11,2012/0157245,2012-06-01,Narsimhan,A1,cited by applicant
8373556,140,2007/0192140,2007-08-01,Gropper,A1,cited by applicant
11324960,34,2014/0046391,2014-02-01,Cowan et al.,A1,cited by applicant
9141796,1,2003/0177394,2003-09-01,Dozortsev,A1,cited by examiner
11052226,55,2013/0116705,2013-05-01,Salahieh,A1,cited by examiner
10918426,112,2005/0113929,2005-05-01,Cragg et al.,A1,cited by applicant
10376302,120,2014/0207217,2014-07-01,Lischinsky,A1,cited by examiner
9193740,4,2004/0106559,2004-06-01,Wang et al.,A1,cited by applicant
10097496,41,2012/0016678,2012-01-01,Gruber et al.,A1,cited by applicant
9142609,7,2007/0045856,2007-03-01,Vaartstra et al.,A1,cited by examiner
10860987,375,2005/0216581,2005-09-01,Blumenau et al.,A1,cited by applicant
11436281,10,2016/0107526,2016-04-01,Jin et al.,A1,cited by applicant
11191946,18,2011/0176945,2011-07-01,Drevet,A1,cited by applicant
10239256,28,2004/0044489,2004-03-01,Jones et al.,A1,cited by applicant
10672651,7,2012/0309189,2012-12-01,Park,A1,cited by examiner
8190066,0,2007/0071503,2007-03-01,Sato,A1,cited by examiner
11399011,2,2011/0212783,2011-09-01,Dale et al.,A1,cited by applicant
10744000,1118,2013/0060284,2013-03-01,Abdou,A1,cited by applicant
11104333,4,2018/0319382,2018-11-01,Laine,A1,cited by examiner
10038298,2,2003/0021319,2003-01-01,Aoki,A1,cited by examiner
8407798,6,2003/0009690,2003-01-01,Grupe,A1,cited by examiner
7377532,0,2007/0114749,2007-05-01,Tal,A1,cited by examiner
10918313,153,2004/0030294,2004-02-01,Mahurkar,A1,cited by applicant
10426467,703,2015/0352699,2015-12-01,Sakai et al.,A1,cited by applicant
8520080,71,2005/0075932,2005-04-01,Mankoff,A1,cited by applicant
9835741,8,2013/0264482,2013-10-01,Yamane et al.,A1,cited by applicant
10284312,74,2018/0151957,2018-05-01,Bennett et al.,A1,cited by applicant
8440707,14,2005/0101518,2005-05-01,Solow-Cordero,A1,cited by applicant
11190936,66,2004/0259545,2004-12-01,Morita,A1,cited by applicant
10700603,10,2015/0303917,2015-10-01,Barnette et al.,A1,cited by applicant
8631993,0,2009/0005808,2009-01-01,Hess et al.,A1,cited by examiner
11344304,197,2007/0276488,2007-11-01,Wachter et al.,A1,cited by applicant
10446653,7,2014/0138779,2014-05-01,Xie,A1,cited by examiner
8283258,61,2006/0192283,2006-08-01,Benson,A1,cited by other
7359174,0,2006/0032352,2006-02-01,Gass et al.,A1,cited by other
10603498,167,2010/0137944,2010-06-01,Zhu,A1,cited by applicant
8425843,2,2003/0022382,2003-01-01,Negersmith,A1,cited by applicant
10104013,13,2016/0285682,2016-09-01,Nagakura,A1,cited by examiner
7283442,3,2001/0021148,2001-09-01,Yokoyama et al.,A1,cited by examiner
8686644,5,2011/0042709,2011-02-01,Stark et al.,A1,cited by examiner
9301663,75,2004/0025285,2004-02-01,McCormick et al.,A1,cited by applicant
10211988,77,2013/0081122,2013-03-01,Svigals et al.,A1,cited by applicant
9566421,7,2006/0115520,2006-06-01,Vanek,A1,cited by examiner
D748052,5,2011/0174875,2011-07-01,Wurzer,A1,cited by applicant
9440888,0,2011/0311368,2011-12-01,Coupe et al.,A1,cited by applicant
11399858,515,2018/0304471,2018-10-01,Tokuchi,A1,cited by applicant
10070980,139,2011/0009897,2011-01-01,Forsell,A1,cited by applicant
7810028,1,2004/0205644,2004-10-01,Shaughnessy et al.,A1,cited by examiner
11042871,33,2016/0321675,2016-11-01,McCoy et al.,A1,cited by applicant
9972785,0,2004/0251816,2004-12-01,Leo et al.,A1,cited by applicant
7216685,2,2002/0046802,2002-04-01,Tachibana et al.,A1,cited by other
8485192,33,2005/0056286,2005-03-01,Huddart et al.,A1,cited by applicant
7575144,117,2005/0131173,2005-06-01,McDaniel et al.,A1,cited by other
7133586,5,2003/0007763,2003-01-01,Bazylenko et al.,A1,cited by other
10283770,2,2014/0045067,2014-02-01,Cho et al.,A1,cited by applicant
10467064,89,2005/0238153,2005-10-01,Chevalier,A1,cited by applicant
10963347,21,2016/0132046,2016-05-01,Beoughter et al.,A1,cited by applicant
11355194,7,2020/0388336,2020-12-01,Yun et al.,A1,cited by applicant
9507965,53,2011/0159850,2011-06-01,Faith et al.,A1,cited by applicant
10872737,111,2018/0068803,2018-03-01,Brambilla et al.,A1,cited by applicant
10256079,168,2004/0175929,2004-09-01,Schmitt et al.,A1,cited by applicant
11152891,0,2011/0109396,2011-05-01,Tanabe,A1,cited by examiner
10512538,98,2010/0131055,2010-05-01,Case et al.,A1,cited by applicant
9121362,17,2009/0276142,2009-11-01,Leone et al.,A1,cited by examiner
8862255,43,2014/0039887,2014-01-01,Dzik et al.,A1,cited by applicant
10911255,26,2016/0163186,2016-06-01,Davidson,A1,cited by examiner
7911904,35,2003/0126527,2003-07-01,Kim et al.,A1,cited by other
8174945,4,2009/0147645,2009-06-01,Nakamura et al.,A1,cited by examiner
7595825,1,2004/0027469,2004-02-01,Tsuruoka,A1,cited by other
8742459,92,2007/0215899,2007-09-01,Herman,A1,cited by applicant
7596915,4,2008/0178545,2008-07-01,Finkelshteyn,A1,cited by examiner
10211436,2,2009/0208835,2009-08-01,Horiuchi et al.,A1,cited by applicant
8750404,119,2007/0223423,2007-09-01,Kim et al.,A1,cited by applicant
9362980,7,2010/0243969,2010-09-01,Rebouillat et al.,A1,cited by applicant
9113698,3,2005/0046210,2005-03-01,Ward et al.,A1,cited by applicant
7574016,37,2007/0110305,2007-05-01,Corcoran et al.,A1,cited by other
11289364,73,2012/0094418,2012-04-01,Grama et al.,A1,cited by applicant
11147669,148,2008/0071361,2008-03-01,Tuval et al.,A1,cited by applicant
9682037,3,2005/0147653,2005-07-01,Yasuda et al.,A1,cited by applicant
10213262,468,2011/0290856,2011-12-01,"Shelton, IV et al.",A1,cited by applicant
D658696,1,2009/0294320,2009-12-01,Wolf et al.,A1,cited by examiner
9872623,31,2004/0147818,2004-07-01,Levy et al.,A1,cited by applicant
7776083,12,2008/0004696,2008-01-01,Vesely,A1,cited by other
10048144,0,2008/0175703,2008-07-01,Lugg,A1,cited by examiner
7740542,19,2005/0286976,2005-12-01,Lochtefeld et al.,A1,cited by other
10638090,285,2012/0206096,2012-08-01,John,A1,cited by applicant
9372160,3,2010/0245850,2010-09-01,Lee et al.,A1,cited by applicant
9036538,388,2008/0299983,2008-12-01,Kwak et al.,A1,cited by applicant
8857498,9,2005/0211398,2005-09-01,Coenraets,A1,cited by applicant
11288751,36,2004/0158476,2004-08-01,Blessinger et al.,A1,cited by applicant
9192483,0,2008/0249569,2008-10-01,Waugh,A1,cited by examiner
10363133,114,2008/0021546,2008-01-01,Patz et al.,A1,cited by applicant
11160460,60,2005/0033131,2005-02-01,Chen et al.,A1,cited by applicant
11432885,406,2017/0165008,2017-06-01,Finley,A1,cited by applicant
8397528,1,2005/0150240,2005-07-01,Doi et al.,A1,cited by examiner
9536004,2,2005/0272442,2005-12-01,Miller et al.,A1,cited by applicant
10292578,47,2005/0096501,2005-05-01,Stelzer,A1,cited by applicant
9102215,0,2011/0082594,2011-04-01,Dage et al.,A1,cited by applicant
10489844,2,2011/0029400,2011-02-01,Scipioni,A1,cited by examiner
8256860,1,2001/0043244,2001-11-01,Sakuma,A1,cited by examiner
7316840,8,2002/0081423,2002-06-01,Heffelfinger,A1,cited by other
9515192,21,2012/0280230,2012-11-01,Akimoto et al.,A1,cited by applicant
10251649,22,2015/0374360,2015-12-01,Scheib et al.,A1,cited by applicant
10450607,329,2016/0201125,2016-07-01,Samuels et al.,A1,cited by applicant
8402318,3,2009/0328044,2009-12-01,Bergheaud et al.,A1,cited by examiner
10935245,37,2013/0101943,2013-04-01,Uhm et al.,A1,cited by applicant
9067766,2,2013/0064622,2013-03-01,Mekid et al.,A1,cited by applicant
8532135,50,2002/0001314,2002-01-01,Yi et al.,A1,cited by applicant
7323635,2,2003/0188777,2003-10-01,Gaudiana et al.,A1,cited by examiner
8252009,57,2005/0228504,2005-10-01,Demarais,A1,cited by other
11092748,11,2008/0291459,2008-11-01,Meyer,A1,cited by applicant
10381767,61,2013/0012038,2013-01-01,Kirk et al.,A1,cited by applicant
9535253,136,2004/0267990,2004-12-01,Lin,A1,cited by applicant
11435438,25,2020/0300965,2020-09-01,Wu,A1,cited by examiner
7385328,2,2003/0178905,2003-09-01,Koharagi et al.,A1,cited by examiner
10564311,5,2012/0091329,2012-04-01,Chace et al.,A1,cited by examiner
10858786,2,2002/0060049,2002-05-01,Kanitz et al.,A1,cited by applicant
8363662,0,2006/0133328,2006-06-01,Levendel et al.,A1,cited by examiner
9678520,31,2006/0044157,2006-03-01,Peters et al.,A1,cited by applicant
8182720,17,2010/0267189,2010-10-01,Yu et al.,A1,cited by examiner
7867242,22,2008/0004632,2008-01-01,Sutherland et al.,A1,cited by other
9633638,15,2012/0304847,2012-12-01,Hacker,A1,cited by examiner
10898664,12,2010/0186744,2010-07-01,Andrieux,A1,cited by applicant
8010443,2,2003/0229900,2003-12-01,Reisman,A1,cited by examiner
7238600,5,2005/0051773,2005-03-01,Nakajima,A1,cited by other
8726006,76,2004/0268175,2004-12-01,Koch et al.,A1,cited by applicant
9331665,17,2012/0080771,2012-04-01,Yang et al.,A1,cited by applicant
11372782,2,2018/0018101,2018-01-01,Benisty,A1,cited by examiner
9446193,0,2008/0077081,2008-03-01,Mounce et al.,A1,cited by applicant
11266784,33,2008/0086091,2008-04-01,Anderson et al.,A1,cited by applicant
9360303,0,2010/0298708,2010-11-01,Pan,A1,cited by examiner
10944688,21,2006/0173628,2006-08-01,Sampas et al.,A1,cited by applicant
10995335,0,2004/0224405,2004-11-01,Leake et al.,A1,cited by applicant
9310508,76,2010/0284250,2010-11-01,Cornish et al.,A1,cited by applicant
8926672,183,2008/0183213,2008-07-01,Veldman et al.,A1,cited by applicant
10506062,48,2007/0288638,2007-12-01,Vuong et al.,A1,cited by applicant
10593675,56,2009/0201723,2009-08-01,Okhonin et al.,A1,cited by applicant
9257179,53,2009/0242996,2009-10-01,van Bentrum et al.,A1,cited by applicant
10980704,3,2010/0210194,2010-08-01,Thomaschewski,A1,cited by applicant
8457053,4,2004/0151113,2004-08-01,Zakrzewski,A1,cited by applicant
8440343,0,2006/0246348,2006-11-01,Hamada et al.,A1,cited by examiner
10022168,68,2014/0330275,2014-11-01,Bottlang et al.,A1,cited by applicant
8756551,121,2010/0006901,2010-01-01,Becker et al.,A1,cited by applicant
9539013,239,2011/0029088,2011-02-01,Rauscher et al.,A1,cited by applicant
9519772,420,2007/0113243,2007-05-01,Brey,A1,cited by applicant
10658399,26,2015/0115234,2015-04-01,Hong,A1,cited by examiner
9848902,36,2004/0097911,2004-05-01,Murakami et al.,A1,cited by applicant
8451381,5,2011/0234994,2011-09-01,Uchiyama,A1,cited by examiner
9602142,20,2008/0049707,2008-02-01,Kwon et al.,A1,cited by applicant
9801628,998,2016/0174975,2016-06-01,"Shelton, IV et al.",A1,cited by applicant
8840646,30,2007/0167945,2007-07-01,Lange et al.,A1,cited by applicant
7236284,84,2004/0056742,2004-03-01,Dabbaj,A1,cited by other
11363659,2,2016/0127882,2016-05-01,Agiwal et al.,A1,cited by applicant
10684044,102,2014/0165594,2014-06-01,Benedict,A1,cited by applicant
10381519,10,2014/0312369,2014-10-01,Yoon et al.,A1,cited by applicant
9330324,58,2008/0278572,2008-11-01,Gharib et al.,A1,cited by applicant
11229436,3,2003/0093503,2003-05-01,Yamaki et al.,A1,cited by applicant
7935959,6,2008/0038866,2008-02-01,Chen,A1,cited by examiner
10439896,349,2014/0181569,2014-06-01,Millington et al.,A1,cited by applicant
8886602,3,2007/0174660,2007-07-01,Peddada,A1,cited by examiner
10097995,0,2002/0184217,2002-12-01,Bisbee et al.,A1,cited by applicant
10533190,73,2014/0256046,2014-09-01,Zhang et al.,A1,cited by applicant
11426586,2,2007/0135868,2007-06-01,Shi,A1,cited by examiner
10579988,2,2010/0088127,2010-04-01,Betancourt,A1,cited by examiner
10625558,2,2009/0024277,2009-01-01,Poilbout,A1,cited by examiner
8976545,1,2007/0165426,2007-07-01,Kyono,A1,cited by examiner
8506400,3,2002/0160834,2002-10-01,Urie et al.,A1,cited by applicant
11014027,2,2014/0217003,2014-08-01,Huda,A1,cited by examiner
10910542,10,2014/0305479,2014-10-01,Nemir,A1,cited by examiner
8369776,51,2007/0202816,2007-08-01,Zheng,A1,cited by applicant
10152105,4,2007/0220316,2007-09-01,Guha,A1,cited by applicant
8160188,2,2009/0046805,2009-02-01,Kim et al.,A1,cited by examiner
8176408,46,2004/0103433,2004-05-01,Regeard,A1,cited by other
11060008,38,2015/0166875,2015-06-01,Bird et al.,A1,cited by applicant
9923386,492,2014/0194092,2014-07-01,Wanstedt et al.,A1,cited by applicant
7934252,3,2008/0235258,2008-09-01,Chung et al.,A1,cited by examiner
10147968,26,2015/0340720,2015-11-01,Visco et al.,A1,cited by applicant
10174144,8,2009/0311302,2009-12-01,Youngblood,A1,cited by examiner
D880124,4,2014/0259788,2014-09-01,Dojan et al.,A1,cited by applicant
9729726,49,2010/0094931,2010-04-01,Hosur et al.,A1,cited by applicant
10134451,5,2004/0030852,2004-02-01,Coombs et al.,A1,cited by applicant
10504818,121,2016/0347609,2016-12-01,Yu et al.,A1,cited by applicant
8923651,6,2006/0279758,2006-12-01,Myoki,A1,cited by examiner
9811753,163,2007/0177004,2007-08-01,Kolehmainen et al.,A1,cited by applicant
10615578,13,2015/0288225,2015-10-01,Dent,A1,cited by applicant
8310644,1,2003/0234903,2003-12-01,Hong et al.,A1,cited by other
7901335,19,2006/0116253,2006-06-01,Nizam,A1,cited by examiner
9864106,3,2013/0070802,2013-03-01,Ichihara,A1,cited by examiner
8652037,0,2004/0243664,2004-12-01,Horstemeyer,A1,cited by examiner
10806867,100,2010/0036318,2010-02-01,Liversidqe,A1,cited by applicant
7309043,14,2004/0195464,2004-10-01,Vassberg et al.,A1,cited by other
10939878,122,2016/0103598,2016-04-01,Al-Ali et al.,A1,cited by applicant
9205260,29,2003/0023241,2003-01-01,Drewry et al.,A1,cited by applicant
7696296,1,2006/0008596,2006-01-01,Pokorny et al.,A1,cited by other
D800061,2,2010/0194515,2010-08-01,Hurst et al.,A1,cited by applicant
11297381,52,2015/0007237,2015-01-01,Good,A1,cited by examiner
7305465,7,2001/0032244,2001-10-01,Neustel,A1,cited by examiner
10795321,65,2007/0053530,2007-03-01,Ochiai et al.,A1,cited by applicant
10118048,52,2006/0149321,2006-07-01,Merry et al.,A1,cited by applicant
9078016,73,2005/0044577,2005-02-01,Jerding,A1,cited by applicant
8221815,5,2002/0090445,2002-07-01,Alani et al.,A1,cited by other
7761342,16,2003/0187721,2003-10-01,Etoh et al.,A1,cited by other
10136902,2,2004/0260291,2004-12-01,Jensen,A1,cited by examiner
10312429,6,2010/0016728,2010-01-01,Dietz,A1,cited by examiner
10541184,575,2010/0213172,2010-08-01,Wilson,A1,cited by applicant
10141046,61,2014/0159156,2014-06-01,Widjaja,A1,cited by applicant
11183877,15,2007/0229231,2007-10-01,Hurwitz et al.,A1,cited by applicant
7295664,8,2003/0223403,2003-12-01,Higgins,A1,cited by examiner
10405945,47,2016/0008110,2016-01-01,Harrison,A1,cited by applicant
D916783,4,2016/0150104,2016-05-01,Wagatsuma,A1,cited by applicant
10448844,136,2008/0319275,2008-12-01,Chiu et al.,A1,cited by applicant
7638346,6,2004/0224484,2004-11-01,Fareed et al.,A1,cited by other
8364284,26,2007/0123963,2007-05-01,Krulevitch,A1,cited by applicant
10955270,78,2014/0081175,2014-03-01,Telfort,A1,cited by applicant
11125066,164,2019/0120134,2019-04-01,Goleczka et al.,A1,cited by applicant
10742386,5,2018/0235012,2018-08-01,Chen,A1,cited by examiner
11348582,2307,2016/0154624,2016-06-01,Son et al.,A1,cited by applicant
8864571,17,2003/0054875,2003-03-01,Marks et al.,A1,cited by applicant
7304587,0,2006/0098576,2006-05-01,Brownrigg et al.,A1,cited by other
10660122,0,2016/0255656,2016-09-01,Lou,A1,cited by examiner
10563946,1,2019/0072357,2019-03-01,Couie,A1,cited by examiner
8175673,389,2005/0043598,2005-02-01,"Goode, Jr. et al.",A1,cited by other
10288064,0,2008/0022672,2008-01-01,He,A1,cited by applicant
10352666,6,2015/0168113,2015-06-01,Pedersen,A1,cited by examiner
D842532,57,2015/0260381,2015-09-01,Verfuerth,A1,cited by applicant
10592436,10,2014/0006711,2014-01-01,Xing,A1,cited by applicant
10528381,12,2013/0250770,2013-09-01,Zou et al.,A1,cited by applicant
11158407,100,2017/0161439,2017-06-01,Raduchel,A1,cited by applicant
11169616,1366,2015/0045007,2015-02-01,Cash,A1,cited by applicant
7639774,7,2003/0043957,2003-03-01,Pelc,A1,cited by other
10386656,66,2007/0141463,2007-06-01,Stevanovic,A1,cited by applicant
10909636,37,2017/0243253,2017-08-01,DeBacco,A1,cited by examiner
8972295,102,2007/0226645,2007-09-01,Kongqiao et al.,A1,cited by examiner
9834070,19,2011/0113697,2011-05-01,Sachdev,A1,cited by examiner
10016600,122,2007/0203533,2007-08-01,Goren,A1,cited by applicant
10341344,241,2010/0211464,2010-08-01,Zhu et al.,A1,cited by applicant
8041710,0,2010/0083029,2010-04-01,Erickson et al.,A1,cited by examiner
8037191,7,2009/0310165,2009-12-01,Olsson et al.,A1,cited by examiner
7973697,18,2003/0225612,2003-12-01,DeSimone et al.,A1,cited by examiner
8933594,365,2013/0278075,2013-10-01,Kurs et al.,A1,cited by applicant
8078156,3,2003/0037110,2003-02-01,Yamamoto,A1,cited by other
10482875,13,2007/0168448,2007-07-01,Garbow et al.,A1,cited by applicant
10278869,438,2012/0302976,2012-11-01,Locke et al.,A1,cited by applicant
9351781,47,2002/0120335,2002-08-01,Angelucci et al.,A1,cited by applicant
8060651,0,2007/0086481,2007-04-01,Klemets,A1,cited by examiner
10441281,1097,2018/0168623,2018-06-01,Simms et al.,A1,cited by applicant
11368870,11,2017/0288767,2017-10-01,Cho,A1,cited by examiner
11258601,1,2003/0037253,2003-02-01,Blank,A1,cited by examiner
9152248,8,2007/0298882,2007-12-01,Marks,A1,cited by examiner
10643085,1,2018/0074494,2018-03-01,Myers,A1,cited by examiner
11298349,58,2018/0230100,2018-08-01,Wilson et al.,A1,cited by applicant
8001984,0,2004/0220452,2004-11-01,Shalman,A1,cited by other
11093984,77,2007/0078670,2007-04-01,Dave et al.,A1,cited by applicant
9931334,113,2016/0237079,2016-08-01,Hadida Ruah et al.,A1,cited by applicant
9471619,3,2015/0156160,2015-06-01,Olsen et al.,A1,cited by applicant
9854425,20,2016/0374133,2016-12-01,Logue et al.,A1,cited by applicant
9833315,255,2013/0066341,2013-03-01,Ketai et al.,A1,cited by applicant
10101869,50,2015/0199578,2015-07-01,Vasquez,A1,cited by applicant
8615796,33,2004/0249919,2004-12-01,Mattheis,A1,cited by applicant
10805603,519,2016/0187187,2016-06-01,Coleman et al.,A1,cited by applicant
8799522,13,2012/0317312,2012-12-01,Elko et al.,A1,cited by applicant
8961498,1,2010/0280464,2010-11-01,De Graaff et al.,A1,cited by applicant
11196591,49,2015/0085870,2015-03-01,Narasimha et al.,A1,cited by applicant
10674063,25,2018/0081033,2018-03-01,Demirtas et al.,A1,cited by applicant
10716007,24,2010/0245054,2010-09-01,Kim,A1,cited by applicant
8108515,19,2005/0262237,2005-11-01,Fulton et al.,A1,cited by examiner
9253690,10,2009/0318140,2009-12-01,Gamel et al.,A1,cited by examiner
8282866,0,2002/0167101,2002-11-01,Tochimoto et al.,A1,cited by other
7746539,82,2006/0274398,2006-12-01,Chou,A1,cited by other
8700588,18,2008/0016059,2008-01-01,Henkin et al.,A1,cited by applicant
10426644,33,2008/0188865,2008-08-01,Miller et al.,A1,cited by applicant
8896703,89,2008/0309769,2008-12-01,Albu et al.,A1,cited by applicant
10999380,2,2014/0126581,2014-05-01,Wang,A1,cited by examiner
D749046,0,2010/0123455,2010-05-01,Tarchinski,A1,cited by examiner
10499705,10,2007/0169376,2007-07-01,Hatfield,A1,cited by examiner
9219140,4,2008/0128746,2008-06-01,Wang,A1,cited by applicant
D947281,2,2012/0037523,2012-02-01,Diebel,A1,cited by examiner
10862628,6,2013/0301550,2013-11-01,Kim,A1,cited by examiner
10311871,2101,2014/0080428,2014-03-01,Rhoads et al.,A1,cited by applicant
10826945,28,2010/0146262,2010-06-01,Zhang,A1,cited by applicant
9015040,35,2010/0217607,2010-08-01,Neuendorf et al.,A1,cited by applicant
8668712,22,2007/0016165,2007-01-01,Von Oepen et al.,A1,cited by applicant
10116530,286,2016/0359592,2016-12-01,Kulshreshtha et al.,A1,cited by applicant
10798705,19,2012/0082049,2012-04-01,Chen et al.,A1,cited by applicant
10856866,870,2017/0007347,2017-01-01,Jaworek et al.,A1,cited by applicant
10070854,9,2013/0267788,2013-10-01,Duan,A1,cited by examiner
8926328,128,2007/0211081,2007-09-01,Quadling et al.,A1,cited by applicant
11179173,16,2002/0156493,2002-10-01,Houser et al.,A1,cited by applicant
10820871,26,2015/0297311,2015-10-01,Tesar,A1,cited by applicant
10191299,18,2010/0231855,2010-09-01,Thompson et al.,A1,cited by applicant
10467676,93,2016/0343058,2016-11-01,Levy et al.,A1,cited by applicant
